"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"admiracja";0;0;0;0;0;0;0;0;0;0,00025467096710268;0,000133523376939884;0;0;0;0;0;0;0;0;0
"adolf";0;0;0;0;0;0;0;0;0;0;0,000267046753879767;0,000195166447029397;0;0;0;0;0;0;0;0
"adolfa";0;0;0;0;0;0;0;0;0;0;0,000267046753879767;0,000195166447029397;0;0;0;0;0;0;0;0
"adolfgustaw";0;0;0;0;0;0;0;0;0;0;0,000133523376939884;0,000195166447029397;0;0;0;0;0;0;0;0
"adoptowaæ";0;0;0;0;0;0;0;0;0,000401320216839307;0,000509341934205361;0;0;0;0;0;0;0;0;0;0
"adrasta";0,000116159455027882;0,000229740177384236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adrenalina";0;0;0;0;0;0,000256623352662175;0;0;0;0;0;0;0;0;0;0;0;0,000158862075457537;0,000160842899341048;0,000383325131227277
"adres";0;0;0;0;0,000351988736360436;0,0002210433244916;0,000303874398581919;0,000670653328117141;0;0;0;0;0;0;0;0;0;0;0;0,00011005943209333
"adresat";0;0;0;0;0;0;0,000841207418305232;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"adresatka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0,000182804759789091
"adwokat";0;0;0;0;0;0;0,000504724450983139;0;0;0;0;0;0;0;0;0;0;0,00340920370985977;0;0
"adwokata";0;0;0;0;0;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0,000227280247323985;0;0
"aedirn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00134995819470195;0,000794310377287685;0,00152800754373995;0,000255550087484852
"aen";0;0;0;0;0;0;0;0,0011177555468619;0;0;0;0;0;0;0;0;0,000290697674418605;0,000410509031198686;0,000484898863951233;0,000440237728373322
"aep";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000674979097350977;0,000794310377287685;0,00104547884571681;0,00140552548116668
"afekt";0;0;0;0;0;0;0;0;0,000629525434309709;0,00266324071475959;0,000558532286399359;0,00122458064332263;0;0;0;0;0,000126232964692312;0,00011884001054777;0;0
"afera";0;0;0;0;0,000351988736360436;0;0,000405165864775893;0;0;0;0;0;0;0;0;0;0,000145348837209302;0;0,000207813798836243;0,000330178296279991
"afrodyta";0;0,000114870088692118;0,000840489097033394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"afrodyzjak";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000198907383296963;0,000374516364828435;9,47965362346289e-05;0
"afryka";0,000116159455027882;0;0;0;0;0;0;0,000556965533150511;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnon";0;0,00256930388451868;0,000220303750424178;0,00190634490549045;0;0;0;0;0;0;0;0,000136415492326383;0;0;0;0;0;0;0;0
"agamemnona";0,000191409580681601;0,000473212350732426;0,000779047102928488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnonem";0;0,000114870088692118;0,000105061137129174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnonie";0;0,000114870088692118;0,000315183411387523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnonowi";0;0,000114870088692118;0,000210122274258349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agat";0;0;0;0;0,000584640636199817;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"agenora";0,000116159455027882;0,000459480354768472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agent";0;0;0;0;0;0;0,000101291466193973;0;0;0;0;0;0;0;0;0;0,000726744186046512;0,00205254515599343;0,000415627597672485;0,000330178296279991
"agnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000909120989295939;0,000115057082809898;0
"agonia";0;0;0;0;0,000408646268019599;0;0,00035278725169218;0,000129767400373742;0;0;0;0,000136415492326383;0;0;0;0;0;0;0;0
"agregat";0;0;0;0;0,0035078438171989;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0;0
"agresja";0;0;0;0;0;0;0,000415846886933331;0,000152962923722473;0;0;0;0;0;0;0;0;0;0;0,000189593072469258;0
"agresor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000241419192942396;0;0,000230114165619795;0
"agrest";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000227280247323985;0,000690342496859385;0
"agresywnoœæ";0;0;0;0;0;0;0,000336482967322093;0,000185655177716837;0;0;0;0;0;0;0;0;0;0;0;0
"agresywny";0;0;0;0;0;0;0,00011759575056406;0,000259534800747484;0;0;0;0;0;0;0;0;0,000168744774337744;0;8,04214496705238e-05;0
"aha";0;0;0;0;0;0,00190981945199776;0;0,000579446031465123;0;0,000618216931471585;0,000185216944964838;6,7681281560722e-05;0;0;0;0;0,000251163465140636;0,000315271782552012;0,000518704634759824;0,000126788806234322
"aha…";0;0;0;0;0;0;0;0;0;0;0,000110011077381173;0;0;0;0;0;0;0,000187258182414218;0,000284389608703887;0
"ajas";9,57047903408003e-05;0,00624640302966802;0,000346243156857106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ajasa";0;0,00275688212861083;0,000315183411387523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ajasem";0;0,000689220532152708;0,000210122274258349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akademia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000337489548675489;0,000317724150915074;0,00104547884571681;0,000383325131227277
"akamas";0,000116159455027882;0,000229740177384236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akcent";0;0;0;0;0;0;8,79698958807904e-05;0;0,00020984181143657;0,00013316203573798;0;0;0;0;0;0;0,000378698894076935;0;6,01609030952551e-05;0,000191169446859587
"akceptacja";0;0;0;0;0;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"akceptowaæ";0;0;0;0;0,000408646268019599;0;0;0,000129767400373742;0;0;0;0;0;0;0;0;0;0,000158862075457537;8,04214496705238e-05;0
"akcja";0;0;0;0;0;0,000502179433962121;0,000306826674667968;8,46461282529346e-05;0;0,000232225264156663;0;0;0;0;0;0;0,000330212174308814;0,000103624327642977;0,000104916401553738;0
"akompaniament";0;0;0;0;0;0;0,000277231257955554;0,000152962923722473;0;0;0;0;0;0;0;0;0;0;0;0,000150614439476459
"akompaniowaæ";0;0;0;0;0;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"akord";0;0;0;0;0;0,000302493986976813;0,000277231257955554;0;0;0;0;0;0;0;0;0;0,000397814766593925;0;0;0
"akrobatyczny";0;0;0;0;0,000584640636199817;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0;0
"aksamit";0;0;0;0;0;0;0;9,70751463793778e-05;0,000104920905718285;0,000266324071475959;6,98165357999199e-05;0;0;0;0;0;0,000126232964692312;0;6,01609030952551e-05;0
"aksamitka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00045456049464797;0,000230114165619795;0
"aksamitny";0;0;0;0;0;0;0;0;0,000239552055853947;0,000202687533714714;5,3134293777377e-05;0,000155329075246738;0;0;0;0;9,60703557330932e-05;0,000271331710773268;0,00013735744959345;0,000145490655391521
"akt";0;0;0;0;0,000697955699518143;0;0,000468650122269513;0,000147759246061294;7,98506852846489e-05;0;5,3134293777377e-05;0;0;0;0,00132590581232434;0;0,000192140711466186;0;0;0,000436471966174564
"aktor";0,000243575924353524;8,02907463912086e-05;0;0;0;0;0,00011759575056406;0,000259534800747484;0;0;0;0;0;0;0;0;0;0;0;0
"aktualny";0;0;0;0;0;0;0,000554462515911108;0,000152962923722473;0;0;0;0;0;0;0;0;0;0,000374516364828435;0;0
"aktywnoœæ";0;0;0;0;0,000584640636199817;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"aktywny";0;0;0;0;0;0;0,000101291466193973;0;0;0;0;0;0;0;0;0;0,000290697674418605;0,000273672687465791;0,00027708506511499;0,00011005943209333
"akurat";0;0;0;0;0,000608238169717555;0;0,000175032123592563;6,43828923850137e-05;0;0;4,63042362412095e-05;0;0;0;0,0011554695019509;0;0,000251163465140636;0,000315271782552012;0,000399003565199865;0,000570549628054449
"akuratny";0;0;0;0;0;0;0;0;0;0;0,000133523376939884;0;0;0;0;0;0;0;0,000115057082809898;0
"akwarium";0;0;0;0;0;0,00110143504472393;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0;0
"akwilon";0,000464637820111527;0;0;0;0;0;0;0;0;0;0,000133523376939884;0;0;0;0;0;0;0;0;0
"ala";0;0;0;0;0;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"alabaster";0;0;0;0;0;0;0;0,000185655177716837;0;0;0;0,000195166447029397;0;0;0;0;0;0;0;0
"alabastrowy";0;0;0;0;0;0;0;0,000152962923722473;0;0;0;0;0;0;0;0;0;0,000187258182414218;9,47965362346289e-05;0
"alarm";0;0;0;0;0,00139591139903629;0;0;0;7,98506852846489e-05;0,000101343766857357;5,3134293777377e-05;0;0;0;0;0;0,000192140711466186;0,000271331710773268;9,15716330623e-05;7,27453276957606e-05
"alarmowy";0;0;0;0;0;0;0,000138615628977777;0,000152962923722473;0;0;0;0;0;0;0;0;0;0;0;0,000150614439476459
"alba";0,00116159455027882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000182804759789091
"alboli";0;0;0;0;0;0;0;0;0,000200660108419653;0;0;0;0;0;0;0;0;0;0;0,000182804759789091
"albowiem";0;0;5,89666064783456e-05;0,00102050636575742;0,000109378454196809;0;0,00031475734451571;3,47336040209171e-05;3,75408261399136e-05;9,52910727915164e-05;0,000299765284816723;7,30260709413395e-05;0;0;0;0;0,000135498919348751;0,000255126591439356;0,000215256434173687;0,000547205262378402
"albowiem…";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0,000182804759789091
"albo¿";0;0,000207476053805457;6,32531073088965e-05;0;0;0,0002210433244916;0;0;0,000120809423135005;0;0,000160778166325013;0;0;0;0;0;0;0;0;0
"alchemia";0;0;0;0;0;0;0;0;0;0;0,000400570130819651;0;0;0;0;0;0;0;0,000115057082809898;0
"alchemik";0;0;0;0;0,000351988736360436;0;0,000101291466193973;0;0;0;8,03890831625065e-05;0;0;0;0;0;0,00116279069767442;0;0;0,00011005943209333
"aldersbergu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000227280247323985;0,000115057082809898;0
"aleæ";0;0;0;0;0;0;0;0;0,000841532381112907;0,000356014733960037;0,000186657670717261;0,000545661969305531;0;0;0;0;0;0;0;0
"aleja";0;0;8,65607892142764e-05;0;0;0;0;0,00152962923722473;0;0;0;0;0;0;0;0;0;0;9,47965362346289e-05;0
"alejka";0;0;0;0;0;0;0;0,000305925847444946;0;0;0;0;0;0;0;0;0;0;0,000379186144938516;0,000150614439476459
"aleksander";0;0;0;0;0;0;0;0;0,000401320216839307;0;0,000267046753879767;0;0;0;0;0;0;0;0;0
"aleksandra";0;0;0;0;0;0;0,000138615628977777;0;0;0;0,000110011077381173;0,00562797695762982;0;0;0;0;0;0;0;0
"aleksandr¹";0;0;0;0;0;0;0;0;0;0,00025467096710268;0;0,000390332894058793;0;0;0;0;0;0;0;0
"alem";0;3,98355092999429e-05;0,000109301662934791;0;0;0;0;0;0,000208759243753256;0,000264950113487822;0,000185216944964838;0,000406087689364332;0;0;0;0;0;7,88179456380029e-05;3,99003565199865e-05;0,000316972015585805
"alembik";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000241419192942396;0;0,000115057082809898;0
"alergiczny";0;0;0;0;0;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"aleœ";0;5,23729441830547e-05;9,58014594281766e-05;0;0;0;0;0;9,14873556526583e-05;0;0,000121755148746313;0,000266947859613964;0;0;0;0;0;0,000103624327642977;5,24582007768689e-05;0
"aleœcie";0;0;0;0;0;0;0;0;0;0,00025467096710268;0,000133523376939884;0;0;0;0;0;0;0;0;0
"ale¿";0;0;0,000190944537580267;0;0,000151794522395295;0,00171584179625345;0,000262090597999513;0,000241015055119339;0;0,00013224416992488;0;0,000101344982815353;0;0;0;0;0,000438770009720237;0,000295052160731413;0,000209111780747799;0,000237314680896452
"ale¿…";0;0;0;0;0,000481690530476277;0;0;0,000152962923722473;0;0;0;0;0;0;0;0;0;0;0;0,000150614439476459
"alfabet";0;0;0;0;0;0,000734290029815951;0,000336482967322093;0;0;0;0;0;0;0;0;0;0;0;0;0
"algebra";0;0;0;0;0;0;0,000672965934644186;0,000185655177716837;0;0;0;0;0;0;0;0;0;0;0;0
"alias";0;0;0;0;0;0;0;0;0,000200660108419653;0;0;0;0;0;0;0;0;0;0,000115057082809898;0
"aliæ";0,000116159455027882;0;0,000840489097033394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alkinoos";0;0;0,000630366822775046;0,00272736296788782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alkinoosa";0;0;0,000315183411387523;0,00272736296788782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alkohol";0;0;0;0;0;0,000302493986976813;0,000138615628977777;0,000305925847444946;0;0;0;0;0;0;0;0;0;0;0;0
"alpejski";0,000348478365083645;0;0;0;0;0;0;0,000185655177716837;0;0;0;0;0;0;0;0;0;0;0;0
"alt";0;0;0;0;0;0;0;0,000152962923722473;0;0;0;0,000160799341646566;0;0;0;0;0;0;0,000189593072469258;0
"alteracja";0;0;0;0;0;0;0;0;0,000200660108419653;0,00025467096710268;0;0;0;0;0;0;0;0;0;0
"alternatywa";0;0;0;0;0;0;0,000504724450983139;0;0;0;0;0;0;0;0;0;0;0,000227280247323985;0;0
"aluminiowy";0;0;0;0;0,000584640636199817;0,000367145014907975;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aluzja";0;0;0;0;0;0;0,000138615628977777;0;0,000165325617285787;0;0;0;0;0;0;0;0;0;0;0,000150614439476459
"a³³a";0;0;0;0;0;0;0;0;0,000200660108419653;0,0012733548355134;0;0;0;0;0;0;0;0;0;0
"amazonka";0,000287114371022401;0,00018928494029297;0;0;0;0;0;0;0;0,000209825635860641;0;0;0;0;0;0;0;0;0;0
"ambasador";0;0;0;0;0;0;0,000138615628977777;0;0;0;0,000110011077381173;0;0;0;0;0;0,00218798121626659;0;0;0
"ambicja";0;0;0;0;0;0,000127321296799851;0,000116688082395042;0;6,95864145844186e-05;8,83167044959407e-05;9,26084724824189e-05;6,7681281560722e-05;0;0;0;0;0,000167442310093757;0,000157635891276006;3,99003565199865e-05;0
"ambitny";0;0;0;0;0;0;0,00011759575056406;0;0;0,000356014733960037;0;0,000136415492326383;0;0;0;0;0;0;8,04214496705238e-05;0
"ambrozja";0,000191409580681601;0;0,000432803946071382;0,00224709818897061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"amell";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000115057082809898;0,00127963331852364
"amellu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000230114165619795;0,000365609519578182
"amen";0;0;0;0;0,000351988736360436;0;0;0;0,000483237692540018;0,000306654400490647;0,00024116724948752;0,000470007637624111;0;0;0;0;0;0;0;0
"ameryk";0;0;0;0;0;0,000367145014907975;0;0,000185655177716837;0;0;0;0;0;0;0;0;0;0;0;0
"amerykañski";0;0;0;0;0,000963381060952554;0,000302493986976813;0,000554462515911108;0;0;0;0;0;0;0;0;0;0;0;0;0
"amor";0,000232318910055764;0;0;0;0;0;0;0;0;0,00025467096710268;0;0;0;0;0;0;0;0;0;0
"amory";0;0;0;0;0;0;0;0;0,000280510793704302;0,00160206630282017;9,33288353586303e-05;0;0;0;0;0;0;0;0;0,000127775043742426
"amplituda";0;0;0;0;0,000584640636199817;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0;0
"amulet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00205984000655639;0,00113755843481555;0,000150614439476459
"anachroniczny";0;0;0;0;0;0;0,000336482967322093;0;0;0;0;0;0;0;0;0;0;0,000909120989295939;0;0
"anachronizm";0;0;0;0;0;0;0,000168241483661046;0,000185655177716837;0;0;0;0;0;0;0;0;0;0;0;0
"anahid";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00120709596471198;0;0;0,000182804759789091
