"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"aaaa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000153013730764042;0;0;0,000226675407361813
"abdank";0;0;0;0;0;0;0;0;0,00165086835251866;0;0,000157206383743664;0;0;0;0;0;0;0;0;0
"abdykacja";0;0;0;0;0;0;0;0;0;0;0,000235809575615496;0;0;0;0;0;0;0,000142682247869056;0;0
"aberracja";0;0;0;0;0,000285130283796875;0;0,000173313424149329;7,68810560159047e-05;0;0;0;0;0;0;0;0;0;0;0;0
"abominacja";0;0;0;0;0;0;0;0;0;0,000143943500081782;0;0;0;0;0;0;0,000306027461528085;0;0;0
"abominacjiabominacja";0;0;0;0;0;0;0;0;0;0,000143943500081782;7,8603191871832e-05;0;0;0;0;0;0;0;0;0
"absolutny";0;0;0;0;0,000179705485206806;5,16991234340385e-05;0,000273080191315244;0,000121137145540739;0;7,47462064520379e-05;2,04083213347704e-05;5,98374133654825e-05;0;0;0;0;0,000317824588208223;0,000333410715842736;0,000310552804173574;0,000235413572500871
"absolutum";0;0;0;0;0;0;0;0;0;0,000237192615838999;6,47618568493258e-05;0,000284823670823457;0;0;0;0;0;0;0;0
"absolwentka";0;0;0;0;0;0;0;9,33125869350383e-05;0;0;0;0;0;0;0;0;0;0,000285364495738112;0;0
"absorbowaæ";0;0;0;0;0;0;8,66567120746646e-05;7,68810560159047e-05;0;0;0;0;0;0;0;0;0;0;0;9,33799247412558e-05
"abstrakcyjny";0;0;0;0;0,000285130283796875;0;0,000259970136223994;7,68810560159047e-05;0;0;0;0;0;0;0;0;0;0;0;0
"absurdalny";0;0;0;0;0;0;0,000210355122523263;9,33125869350383e-05;0;0;0;0;0;0;0;0;0;0;0;0
"abym";2,53896170287407e-05;0,000192144624042207;0,00030711892653827;0;0;0;0,000182371310385805;6,47192749126433e-05;8,80769978550441e-05;0,000149753413655219;0,000218068826547736;0,000119883768569972;0;0;0;0;0;0;0;0
"abyœ";0;0,000220486714183531;0,000327247309927557;0,000597616679424667;0;0;0;3,71328116541394e-05;0,00020213740508236;0,000171842633012483;9,38380645653799e-05;9,17113982855115e-05;0;0;0;0;0;0;0;0
"abyœcie";0;4,84098093338204e-05;0;0;0;0;0;0;0;0,000100612188876305;0,000109882546726959;0;0;0;0;0;0;0;0;7,92196552332775e-05
"abyœmy";0;8,3395880243516e-05;7,61701641467037e-05;0;0;0;0,000189969604863222;0;0;0;0,000189295348066821;0,000346884972942972;0;0;0;0;0;0;0;0
"ach";0,000146181437143144;0,000568504023520758;0;0;0;0,000485921089482004;0;0,000227714088085064;0,000112690178396148;6,38673710170904e-05;3,48760396652409e-05;2,55642290192246e-05;0;0;0;0;0,000135783619376547;0,000411500417668614;0,000187308576481435;0,000125719139229991
"achaje";0;0,00200850460244628;0,000442805664474455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajom";0;0,000415552676368196;6,32579520677793e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajów";6,03214597704848e-05;0,00194013906683452;0,00010423755928576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajski";0;0,00152369314668339;0,000695837472745572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achill";7,32137635793834e-05;0,000346293896973497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achilla";0,000482571678163878;0,00359496356501691;0,000364831457500161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillem";0,00012064291954097;0,000285314568652136;5,21187796428801e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achilles";5,11742246465379e-05;0,00338868665336743;0,00013264623309331;0,00104969624542828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillesa";6,03214597704848e-05;0,000456503309843417;0,00010423755928576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillesie";0;0,000900364132131092;0,000126515904135559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
