"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"zaczerpn¹æ";0,000163508309586368;0;0;0;0;0;0;0,000293382526976761;0;0;0;0;0;0;0;0;0;0;0,000323556637210806;0
"zaczerwieniæ";0;0;0;0;0,000393548108034344;0;0;0,000850205656482386;0,000131613709168395;0,000554810336410477;0,000183652138772904;0,000136182970525122;0;0;0;0;0;0,000462482132322109;0,000156274748183871;0
"zaæmiæ";0,000119481450504809;0,000130132084065326;0;0,00284900284900285;0;0;0,000177698800533096;0;0;0;0,000138927479855515;0;0;0;0;0;0;0;0;0
"zad";0;0;0;0;0;0;0;0;0;0,000243000223022693;0;0,000178939486367179;0;0;0;0;0,000423598486566567;0,00040512317065101;0,000410678707687955;0,000169426999040793
"zadaj¹c";0;0;0,000157432590978787;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000333735592508987;0;0;0,000266968942076298
"zadarty";0;0;0;0;0;0;0;0,000293382526976761;0;0,000382899495546475;0;0;0;0;0;0;0;0;0,000323556637210806;0
"zadatek";0;0,000356167036783942;0,000157432590978787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000319179661127254;0;0
"zadbaæ";0;0;0;0;0;0;0,000206301918692791;0;0;0;0;0;0;0;0;0;0;0,000270778786575786;0,000411738047326048;0,000226485377964042
"zadecydowaæ";0;0;0;0;0,000691255759120977;0,000453944886585995;0,000618905756078373;0;0;0;0;0;0;0;0;0;0,00113250974022064;0;0;0
"zademonstrowaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000283127435055159;0,000270778786575786;0,000274492031550699;0,000452970755928085
"zad³awiæ";0;0,000178083518391971;0;0;0;0;0;0;0;0,000382899495546475;0,000760479464897529;0;0;0;0;0;0;0;0;0
"zadoœæ";0,000119481450504809;0,000130132084065326;0,000115041702617199;0;0;0;0;0;0,000199123855037834;0,000279798545047566;0;0;0;0;0;0;0;0;0;0
"zadowolenie";0;0;0;0;0,000393548108034344;0,000516882930552243;0,000234905036852486;0;0;0,000184936778803492;0,000275478208159356;0,000136182970525122;0;0;0;0;0;0,000154160710774036;0;0,000128943434928537
"zadowoliæ";0;0;0;0;0,000691255759120977;0;0,000412603837385582;0;0;0;0;0;0;0;0;0;0,000283127435055159;0,000270778786575786;0;0
"zadowolony";0;0;0;0;0;0,000675661638384194;0,000102354783957801;0,000123486235764289;0;0,00032232878943622;8,00224432790393e-05;0,000356032685725265;0;0;0;0;0,000140471051511407;0;0,000204280014205884;0,000337105860352629
"zadrgaæ";5,97407252524046e-05;0;5,75208513085994e-05;0;0,000297707651086633;0,000586510263929619;8,88494002665482e-05;0,00032157787544217;0;0;6,94637399277577e-05;0,000309055320902442;0;0;0;0;0,000121936349225704;0;0;0,000195083886071011
"zadrwiæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000667471185017975;0;0,00113244823023782;0,000266968942076298
"zadrzeæ";0;8,60126289860994e-05;7,6038429386676e-05;0;0;0;0;0;0,000394841127505186;0;0,000183652138772904;0,000272365941050245;0;0;0;0;0;0,000462482132322109;0,000390686870459677;0,000386830304785611
"zadr¿eæ";0,000238962901009618;0,000455462294228642;0,000230083405234397;0;0;0;0;0,00021438525029478;9,95619275189168e-05;0;0,000208391219783273;0;0;0;0;0;0,000121936349225704;0,000116618075801749;0,000236434566733656;9,75419430355053e-05
"zadudniæ";0;0;0;0;0;0;0;0,000293382526976761;0;0;0;0;0;0;0;0;0;0,000319179661127254;0;0,000266968942076298
"zaduma";0;0;0,000115041702617199;0;0;0;0;0;0,000796495420151334;0;0,000277854959711031;0;0;0;0;0;0;0;0,000472869133467313;0,000195083886071011
"zadygotaæ";0;0;0;0;0;0;0;0,000293382526976761;0;0;0;0;0;0;0;0;0,000333735592508987;0;0;0,00106787576830519
"zadymiæ";0,000103767584333963;0;0;0;0,00155132384117256;0;0;0;0,000172935642589228;0;0,000120656126296624;0;0;0;0;0;0,000211799243283283;0;0,000102669676921989;0
