"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"aaaa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000186133697253732;0;0;0,000279977083429192
"abdank";0;0;0;0;0;0;0;0;0,00202300394591913;0;0,000197828018990434;0;0;0;0;0;0;0;0;0
"abdykacja";0;0;0;0;0;0;0;0;0;0;0,00029674202848565;0;0;0;0;0;0;0,000174636110550277;0;0
"aberracja";0;0;0;0;0,000368614894837199;0;0,000217495676586634;0,000106854282586328;0;0;0;0;0;0;0;0;0;0;0;0
"abominacja";0;0;0;0;0;0;0;0;0;0,00018432627315988;0;0;0;0;0;0;0,000372267394507465;0;0;0
"abominacjiabominacja";0;0;0;0;0;0;0;0;0;0,00018432627315988;9,89140094952168e-05;0;0;0;0;0;0;0;0;0
"absolutny";0;0;0;0;0,000232322283165001;6,92323387582329e-05;0,000342695675560261;0,000168364268808086;0;9,57159556375613e-05;2,56817673966789e-05;7,57572662494568e-05;0;0;0;0;0,000386618020395614;0,000408078450544138;0,000387413535980424;0,000290769987779204
"absolutum";0;0;0;0;0;0;0;0;0;0,000303736055284231;8,14961170249585e-05;0,00036060152755813;0;0;0;0;0;0;0;0
"absolwentka";0;0;0;0;0;0;0;0,000129691890953672;0;0;0;0;0;0;0;0;0;0,000349272221100553;0;0
"absorbowaæ";0;0;0;0;0;0;0,000108747838293317;0,000106854282586328;0;0;0;0;0;0;0;0;0;0;0;0,000115337783150704
"abstrakcyjny";0;0;0;0;0,000368614894837199;0;0,000326243514879951;0,000106854282586328;0;0;0;0;0;0;0;0;0;0;0;0
"absurdalny";0;0;0;0;0;0;0,000263980299975156;0,000129691890953672;0;0;0;0;0;0;0;0;0;0;0;0
"abym";3,04239559869286e-05;0,000236229583665968;0,000382779781369694;0;0;0;0,000228862661603038;8,99510496950925e-05;0,00010793114661967;0,000191766134742823;0,000274417125641984;0,000151779063695;0;0;0;0;0;0;0;0
"abyœ";0;0,000271074379286363;0,000407866930116669;0,00081149668194436;0;0;0;5,16095922107973e-05;0,000247702833163885;0,000220052396219181;0,000118085525388938;0,000116111382950142;0;0;0;0;0;0;0;0
"abyœcie";0;5,95167788913276e-05;0;0;0;0;0;0;0;0,000128838535949804;0,000138275851291529;0;0;0;0;0;0;0;0;9,78477916092441e-05
"abyœmy";0;0,000102529925922129;9,49352067214126e-05;0;0;0;0,000238397965670693;0;0;0;0,000238208670795617;0,00043917435221783;0;0;0;0;0;0;0;0
"ach";0,000175166785883952;0,000698939506937422;0;0;0;0,000650716129059903;0;0,000316491822277983;0,000138092583344958;8,17851064439248e-05;4,38878986521085e-05;3,23656387424772e-05;0;0;0;0;0,00016517411198884;0,000503656435924755;0,000233666793404879;0,000155281414700001
"achaje";0;0,00246932855078393;0,00055189387820315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajom";0;0,000510895562231158;7,884198260045e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajów";7,22822024076642e-05;0,00238527747678084;0,000129917197235781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achajski";0;0,00187328372818091;0,00086726180860495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achill";8,77308357292318e-05;0,000425746301859298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achilla";0,000578257619261314;0,00441977885403509;0,000454710190325235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillem";0,000144564404815328;0,000350776099526595;6,49585986178907e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achilles";6,13212226300637e-05;0,00416617452239293;0,000165324542760291;0,0014253702239947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillesa";7,22822024076642e-05;0,000561241759242551;0,000129917197235781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillesie";0;0,00110694038483418;0,0001576839652009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achillu";0;0,00195843298855277;0,00023652594780135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achiwami";8,77308357292318e-05;0;7,884198260045e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achiwi";7,22822024076642e-05;0,000280620879621276;0,000649585986178907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achiwów";0,000216846607222993;0,000210465659715957;0,00129917197235781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"achiwy";0,000144564404815328;0,00168372527772765;0,00129917197235781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"acz";0;0;0,000427208430246357;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000448254608617695;0,000105141415203449;5,28443469759822e-05;0,000337126000842815
"aczkolwiek";0;0;6,49585986178907e-05;0;0;0;0,000217495676586634;0;0;0;0;0;0;0;0;0;0;0,000143884217966891;0;0
"adam";0;0;0;0;0;0;0;0;0,000155615688147626;0,00018432627315988;0;0;0;0;0;0;0;0;0;0
"adamaszek";0;0;0;0;0;0;0;0,000106854282586328;0;0;0;0;0;0;0;0;0,000153357180151634;0;7,23165797597222e-05;0
"adaptacja";0;0;0;0;0;0;0,000263980299975156;0;0;0;0;0;0;0;0;0;0;0;0,000175545120875491;0
"adept";0;0;0;0;0;0;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0;0,000175545120875491;0
"adeptka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000130101871176521;0,00219717725307394;0,00104295657814583;9,78477916092441e-05
"administracyjny";0;0;0;0;0;0;0,000217495676586634;0,000106854282586328;0,000128213125692894;0;0;0;0;0;0;0;0;0;0;0
"admiracja";0;0;0;0;0;0;0;0;0;0,00018432627315988;9,89140094952168e-05;0;0;0;0;0;0;0;0;0
"adolf";0;0;0;0;0;0;0;0;0;0;0,000197828018990434;0,000145890561918637;0;0;0;0;0;0;0;0
"adolfa";0;0;0;0;0;0;0;0;0;0;0,000197828018990434;0,000145890561918637;0;0;0;0;0;0;0;0
"adolfgustaw";0;0;0;0;0;0;0;0;0;0;9,89140094952168e-05;0,000145890561918637;0;0;0;0;0;0;0;0
"adoptowaæ";0;0;0;0;0;0;0;0;0,000311231376295251;0,000368652546319761;0;0;0;0;0;0;0;0;0;0
"adrasta";8,77308357292318e-05;0,000170298520743719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adrenalina";0;0;0;0;0;0,00018638048602403;0;0;0;0;0;0;0;0;0;0;0;0,000122065402948552;0,000122700773899509;0,000293543374827732
"adres";0;0;0;0;0,000269360269360269;0,000160539412425751;0,000238397965670693;0,00046849379245725;0;0;0;0;0;0;0;0;0;0;0;8,42815002107038e-05
"adresat";0;0;0;0;0;0;0,00065995074993789;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0
"adresatka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0,000139988541714596
"adwokat";0;0;0;0;0;0;0,000395970449962734;0;0;0;0;0;0;0;0;0;0;0,00261954165825415;0;0
"adwokata";0;0;0;0;0;0;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0,000174636110550277;0;0
"aedirn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00104081496941216;0,000610327014742762;0,00116565735204534;0,000195695583218488
"aen";0;0;0;0;0;0;0;0,00078082298742875;0;0;0;0;0;0;0;0;0,000224127304308847;0,000315424245610346;0,000369910428831876;0,000337126000842815
"aep";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000520407484706082;0,000610327014742762;0,00079755503034681;0,00107632570770168
"afekt";0;0;0;0;0;0;0;0;0,000488208814587401;0,00192760580864078;0,000413760265404051;0,000915396887571123;0;0;0;0;9,73253540744218e-05;9,1313510365167e-05;0;0
"afera";0;0;0;0;0,000269360269360269;0;0,000317863954227591;0;0;0;0;0;0;0;0;0;0,000112063652154424;0;0,000158533040927947;0,000252844500632111
"afrodyta";0;8,51492603718597e-05;0,0006307358608036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"afrodyzjak";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000153357180151634;0,000287768435933783;7,23165797597222e-05;0
"afryka";8,77308357292318e-05;0;0;0;0;0;0;0,000389075672861017;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnon";0;0,00190453692452248;0,000165324542760291;0,0014253702239947;0;0;0;0;0;0;0;0,000101973126696854;0;0;0;0;0;0;0;0
"agamemnona";0,000144564404815328;0,000350776099526595;0,000584627387561016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnonem";0;8,51492603718597e-05;7,884198260045e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnonie";0;8,51492603718597e-05;0,00023652594780135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agamemnonowi";0;8,51492603718597e-05;0,0001576839652009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agat";0;0;0;0;0,000447397723217153;0;0;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0
"agenora";8,77308357292318e-05;0,000340597041487439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agent";0;0;0;0;0;0;7,94659885568976e-05;0;0;0;0;0;0;0;0;0;0,000560318260772119;0,00157712122805173;0,000317066081855893;0,000252844500632111
"agnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000698544442201107;8,77725604377457e-05;0
"agonia";0;0;0;0;0,000312717588537018;0;0,000276771467127387;9,06507415822348e-05;0;0;0;0,000101973126696854;0;0;0;0;0;0;0;0
"agregat";0;0;0;0;0,00268438633930292;0;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0;0;0
"agresja";0;0;0;0;0;0;0,000326243514879951;0,000106854282586328;0;0;0;0;0;0;0;0;0;0;0,000144633159519444;0
"agresor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000186133697253732;0;0,000175545120875491;0
"agrest";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000174636110550277;0,000526635362626474;0
"agresywnoœæ";0;0;0;0;0;0;0,000263980299975156;0,000129691890953672;0;0;0;0;0;0;0;0;0;0;0;0
"agresywny";0;0;0;0;0;0;9,22571557091291e-05;0,00018130148316447;0;0;0;0;0;0;0;0;0,000130101871176521;0;6,13503869497546e-05;0
"aha";0;0;0;0;0;0,00138706424800736;0;0,000404779723627916;0;0,00044745431439992;0,000137208562820992;5,05930212316667e-05;0;0;0;0;0,000193646510916969;0,000242246471127126;0,000395699532718198;9,70925489629204e-05
"aha…";0;0;0;0;0;0;0;0;0;0;8,14961170249585e-05;0;0;0;0;0;0;0,000143884217966891;0,000216949739279167;0
"ajas";7,22822024076642e-05;0,00463024451375105;0,000259834394471563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ajasa";0;0,00204358224892463;0,00023652594780135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ajasem";0;0,000510895562231158;0,0001576839652009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akademia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000260203742353041;0,000244130805897105;0,00079755503034681;0,000293543374827732
"akamas";8,77308357292318e-05;0,000170298520743719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akcent";0;0;0;0;0;0;6,90148440148683e-05;0;0,000162736271529133;9,6380290432039e-05;0;0;0;0;0;0;0,000291976062223265;0;4,58944062717311e-05;0,000146394066090704
"akceptacja";0;0;0;0;0;0;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0
"akceptowaæ";0;0;0;0;0,000312717588537018;0;0;9,06507415822348e-05;0;0;0;0;0;0;0;0;0;0,000122065402948552;6,13503869497546e-05;0
"akcja";0;0;0;0;0;0,000364723030862841;0,000240714108841347;5,91306774744186e-05;0;0,000168080476398819;0;0;0;0;0;0;0,000254592901803624;7,96221834102491e-05;8,00366302655301e-05;0
"akompaniament";0;0;0;0;0;0;0,000217495676586634;0,000106854282586328;0;0;0;0;0;0;0;0;0;0;0;0,000115337783150704
"akompaniowaæ";0;0;0;0;0;0;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0
"akord";0;0;0;0;0;0,000219695424158469;0,000217495676586634;0;0;0;0;0;0;0;0;0;0,000306714360303267;0;0;0
"akrobatyczny";0;0;0;0;0,000447397723217153;0;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0;0;0
"aksamit";0;0;0;0;0;0;0;6,78131332148905e-05;8,13681357645667e-05;0,000192760580864078;5,17200331755064e-05;0;0;0;0;0;9,73253540744218e-05;0;4,58944062717311e-05;0
"aksamitka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000349272221100553;0,000175545120875491;0
"aksamitny";0;0;0;0;0;0;0;0;0,000185777124872914;0,000146701597479454;3,93618417963126e-05;0,000116111382950142;0;0;0;0;7,40700450993087e-05;0,000208484086040484;0,00010478464038529;0,000111414083007784
"akt";0;0;0;0;0,000534112361570651;0;0,000367669130014762;0,000103219184421595;6,19257082909712e-05;0;3,93618417963126e-05;0;0;0;0,00100910541594455;0;0,000148140090198617;0;0;0,000334242249023353
"aktor";0,000183963667890191;5,95167788913276e-05;0;0;0;0;9,22571557091291e-05;0,00018130148316447;0;0;0;0;0;0;0;0;0;0;0;0
"aktualny";0;0;0;0;0;0;0,000434991353173269;0,000106854282586328;0;0;0;0;0;0;0;0;0;0,000287768435933783;0;0
"aktywnoœæ";0;0;0;0;0,000447397723217153;0;0;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0
"aktywny";0;0;0;0;0;0;7,94659885568976e-05;0;0;0;0;0;0;0;0;0;0,000224127304308847;0,000210282830406897;0,000211377387903929;8,42815002107038e-05
"akurat";0;0;0;0;0,000465455795331333;0;0,000137317596961823;4,49755248475463e-05;0;0;3,4302140705248e-05;0;0;0;0,000879391674385534;0;0,000193646510916969;0,000242246471127126;0,000304384255937076;0,000436916470333142
"akuratny";0;0;0;0;0;0;0;0;0;0;9,89140094952168e-05;0;0;0;0;0;0;0;8,77725604377457e-05;0
"akwarium";0;0;0;0;0;0,000799950576710715;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0;0;0
"akwilon";0,000350923342916927;0;0;0;0;0;0;0;0;0;9,89140094952168e-05;0;0;0;0;0;0;0;0;0
"ala";0;0;0;0;0;0;0,000131990149987578;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0
"alabaster";0;0;0;0;0;0;0;0,000129691890953672;0;0;0;0,000145890561918637;0;0;0;0;0;0;0;0
"alabastrowy";0;0;0;0;0;0;0;0,000106854282586328;0;0;0;0;0;0;0;0;0;0,000143884217966891;7,23165797597222e-05;0
"alarm";0;0;0;0;0,0010682247231413;0;0;0;6,19257082909712e-05;7,33507987397271e-05;3,93618417963126e-05;0;0;0;0;0;0,000148140090198617;0,000208484086040484;6,9856426923527e-05;5,57070415038922e-05
"alarmowy";0;0;0;0;0;0;0,000108747838293317;0,000106854282586328;0;0;0;0;0;0;0;0;0;0;0;0,000115337783150704
"alba";0,000877308357292318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000139988541714596
"alboli";0;0;0;0;0;0;0;0;0,000155615688147626;0;0;0;0;0;0;0;0;0;0;0,000139988541714596
"albowiem";0;0;4,42508456410218e-05;0,000763030542352695;8,37021382823259e-05;0;0,00024693594117382;2,42636205491634e-05;2,91136167492514e-05;6,89699674560282e-05;0,000222065880209482;5,45883510536908e-05;0;0;0;0;0,000104469385904567;0,000196032502390791;0,000164210737111599;0,000419039782045526
"albowiem…";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,77725604377457e-05;0,000139988541714596
"albo¿";0;0,000153794888883193;4,74676033607063e-05;0;0;0,000160539412425751;0;0;9,36899798566543e-05;0;0,000119104335397808;0;0;0;0;0;0;0;0;0
"alchemia";0;0;0;0;0;0;0;0;0;0;0,00029674202848565;0;0;0;0;0;0;0;8,77725604377457e-05;0
"alchemik";0;0;0;0;0,000269360269360269;0;7,94659885568976e-05;0;0;0;5,95521676989042e-05;0;0;0;0;0;0,00089650921723539;0;0;8,42815002107038e-05
"aldersbergu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000174636110550277;8,77725604377457e-05;0
"aleæ";0;0;0;0;0;0;0;0;0,00065262418931579;0,000257677071899607;0,000138275851291529;0,000407892506787415;0;0;0;0;0;0;0;0
"aleja";0;0;6,49585986178907e-05;0;0;0;0;0,00106854282586328;0;0;0;0;0;0;0;0;0;0;7,23165797597222e-05;0
"alejka";0;0;0;0;0;0;0;0,000213708565172656;0;0;0;0;0;0;0;0;0;0;0,000289266319038889;0,000115337783150704
"aleksander";0;0;0;0;0;0;0;0;0,000311231376295251;0;0,000197828018990434;0;0;0;0;0;0;0;0;0
