"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"zeus";0;0,0151600173467852;0,00961182869304086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zeusowy";0;0,000770848339667043;0,0022427600283762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zew³ok";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000186154558413413;0,000174645291776845;0;0
"zewn¹trz";0;0;5,33093044269433e-05;0;0,000300026704098062;0,000237099845304016;6,0011041420643e-05;0,000172949253529833;3,46155751134902e-05;0;0,00011009016673631;6,49394716628811e-05;0;0;0,00113205160394195;0;0;0,00011623451882123;1,94665749423162e-05;9,3051211384622e-05
"zewnêtrzny";0;0;0;0;0,000678518116433709;0,000563017775275477;0,000244289727616954;0,000352016270974303;4,69704086425552e-05;5,56916907997327e-05;2,98766096023423e-05;4,40586861699784e-05;0;0;0;0;0;0;2,6414496275556e-05;4,20875420875421e-05
"zewrzeæ";0,000159007791381778;7,7349490782519e-05;2,41120729149085e-05;0;0;0;0;3,91129189971448e-05;4,69704086425552e-05;0;0;8,81173723399568e-05;0;0;0;0;5,60381059120202e-05;5,25734714263183e-05;5,2828992551112e-05;8,41750841750842e-05
"zewsz¹d";0,000854828181917141;0,000267320557973584;0,000222217460698778;0;0;0;4,69037536519299e-05;0,000135174611035129;5,41100560566017e-05;0;0;0;0;0;0,000884795002645968;0;0,000129112142722897;0;0;4,84849786803472e-05
"zeznaæ";0;0;0;0;0;0;0;0;0,000128556392398601;0,000152426241599811;0;0;0;0;0;0;0;0;0;0,000115192154636625
"zeznanie";0;0;0;0;0,00135703623286742;0;8,14299092056512e-05;7,82258379942895e-05;0;0;0;0;0;0;0;0;0;0,000210293885705273;0;0,000420875420875421
"zeznawaæ";0;0;0;0;0,000371416147939504;0;0;0;0;0,000152426241599811;0;0;0;0;0;0;0;0;0;0,000115192154636625
"zezowaty";0;8,56498155185603e-05;0;0;0;0;0;0;0;0;9,92479488180025e-05;0;0;0;0;0;0;0;0;0
"zezwalaæ";0;0;4,8224145829817e-05;0;0;0;8,14299092056512e-05;0;0;0;5,97532192046847e-05;0;0;0;0;0;0;0,000105146942852637;5,2828992551112e-05;0
"zezwolenie";0;0;0;0;0,000371416147939504;0;0;0;0;0;0;0,000120587108171397;0;0;0;0;0;0;7,22955674934282e-05;0
"zezwoliæ";0;0,000103132654376692;4,8224145829817e-05;0;0,000271407246573484;0;0;0;0;0;0;0;0;0;0;0;0;0,000210293885705273;0,000158486977653336;0
"zêbaty";0;0;2,77771825873472e-05;0;0;0,000185313776794828;0;9,01164073567528e-05;5,41100560566017e-05;0;3,44179466835484e-05;0;0;0;0;0;6,45560713614486e-05;0,000121129603432527;3,04295814212333e-05;4,84849786803472e-05
"zêbisko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000523935875330534;0;0,00013981178850536
"zgadn¹æ";3,05295779256122e-05;5,94045684385742e-05;0;0;0;0;0;9,01164073567528e-05;0;0;3,44179466835484e-05;0,00010151148552188;0;0;0;0;0,000129112142722897;0,000121129603432527;0,000121718325684933;0,000145454936041042
"zgadywaæ";6,15341096858897e-05;0;0,000167959498581296;0;0;0;0;0;0;0,000129312101519679;6,93713392156602e-05;0;0;0;0;0;0;0;0;0
"zgadzaæ";2,65012985636296e-05;0;0;0;0,000135703623286742;0,000241293332260919;8,14299092056512e-05;0;0;5,56916907997327e-05;0;4,40586861699784e-05;0;0;0;0;0,00011207621182404;0,000210293885705273;0,000105657985102224;0,000252525252525253
"zganiaæ";0;8,56498155185603e-05;8,00985724420071e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zganiæ";0;0;6,59939139721314e-05;0;0;0;0;0;0;0;0,00024531375765584;0,000120587108171397;0;0;0;0;0;0;0;0
"zgarbiæ";0;0;4,8224145829817e-05;0;0;0,000321724443014558;0;0,000234677513982869;0;0;0;0;0;0;0;0;0;0;5,2828992551112e-05;0,000168350168350168
"zgarn¹æ";0;0;6,59939139721314e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,22955674934282e-05;0,000115192154636625
"zgarniaæ";0;0;8,00985724420071e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,77470572900672e-05;0
"zgasiæ";3,05295779256122e-05;5,94045684385742e-05;8,33315477620416e-05;0;0,000156330993818028;0,000185313776794828;9,38075073038598e-05;0,000135174611035129;0;0;3,44179466835484e-05;0;0;0;0;0;0;0;9,12887442636999e-05;0
"zgas³y";0,00010509843336678;0,000102250464990643;6,37488532243803e-05;0;0,00035878086440151;0,000318972435024699;0;5,17044664953793e-05;0,000124183005625868;0;7,89894592266357e-05;0;0;0;0;0;0;0;0;0
"zgasn¹æ";2,28572766271815e-05;4,44757754931064e-05;0,000103982889620966;0;0,000117043896899181;0,000138743099211786;7,02330097512369e-05;0,000134939019243566;4,05118119422295e-05;0;5,15369410086382e-05;0;0;0;0;0;0;0;6,83472298787626e-05;3,63003567445314e-05
"zgêszczaæ";0;8,56498155185603e-05;0;0;0,000450797678774238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zgi¹æ";5,8591635726364e-05;5,70039134329926e-05;8,88488407115721e-05;0,000452403679660041;0;5,92749613260039e-05;0;0,000144124377941527;0;0;4,4036066694524e-05;3,24697358314406e-05;0;0;0;0;0,000123894468058202;3,87448396070767e-05;1,94665749423162e-05;0,000155085352307703
"zgie³k";0,000685718298815444;0,000177903101972425;0,000103982889620966;0;0;0;3,51165048756185e-05;3,37347548108916e-05;0;4,80338870711776e-05;0;7,60009231396277e-05;0;0;0;0;4,83326688848453e-05;4,5344433849433e-05;2,27824099595875e-05;3,63003567445314e-05
"zgie³kliwy";0;0;0,000160197144884014;0;0;0;0;0;0;0;9,92479488180025e-05;0;0;0;0;0;0;0;0;0
"zginaæ";6,15341096858897e-05;0;5,59864995270986e-05;0;0;0;0;9,0817385492524e-05;0;0;0;0;0;0;0;0;0;0;0;9,77242464178183e-05
"zginaj¹c";8,80354082495193e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000175494114580134;0
"zginiem";6,15341096858897e-05;0,000119733303848775;5,59864995270986e-05;0;0;0;0;0;0;0,000129312101519679;0;0;0;0;0;0;0;0;0;0
"zgliszcze";0,000159007791381778;0;0;0;0;0;8,14299092056512e-05;0;0;0,000111383381599465;5,97532192046847e-05;8,81173723399568e-05;0;0;0;0;0;0;0;0
"zg³adziæ";0,00010509843336678;0,000204500929981286;0,000191246559673141;0;0;0;5,38222423715387e-05;0;0;7,36204107199467e-05;0,000118484188839954;5,82424150719197e-05;0,00131535133819638;0;0;0;0;0;0;0
"zg³aszaæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000186154558413413;0;0;0,00013981178850536
"zg³odnia³y";0;0,000211702894998031;0,000263975655888526;0;0;0;0;0;0;0;8,17712525519466e-05;0;0;0;0;0;0;0;0;0
"zg³odnieæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000174645291776845;0;0,00013981178850536
"zg³osiæ";0;0;0;0;0,00035878086440151;0,000318972435024699;5,38222423715387e-05;0,000155113399486138;6,20915028129339e-05;0;7,89894592266357e-05;0;0;0;0;0;0;0,000208495046772624;0;0,000111273408660552
"zg³upieæ";0;0;0;0;0;0;0;0,000259860608979338;0,000156032320098044;0;0;0;0;0;0;0;0;0;0;0
"zgnêbiæ";0;5,98666519243873e-05;5,59864995270986e-05;0;0,000315094055487497;0;0;0;0;0;0;0;0;0;0;0;0;0;6,13325610145111e-05;0
"zgniataæ";0;0;0;0;0,000450797678774238;0;0;0;0;0;0;0;0;0;0;0;0;0;8,77470572900672e-05;0
"zgniæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000186154558413413;0;8,77470572900672e-05;0
"zgnieœæ";0,000145066284738761;0;0,000197981741916394;0;0;0;0;0,000107050713582595;0;0;0;0;0;0;0;0;0;0;0;0
"zgniewaæ";0;0;8,00985724420071e-05;0;0;0;0;0,000129930304489669;0;0;0;0;0;0;0;0;0;0;0;0
"zgnilizna";0;0;0;0;0;0;0;0;0,000128556392398601;0;0;0;0;0;0;0;0;0,000143891782459713;0;0,000115192154636625
"zgni³y";0;7,05676316660102e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000153374367843441;0;0;0,000115192154636625
"zgoda";6,58809961039137e-05;0,000112167555426683;0,000149853730558742;0;0,000506029347330387;0;0,000151823226272449;2,43082245373438e-05;0;0,000207670431080286;5,57038968133253e-05;0,000383347458890945;0;0;0;0;3,4827031479197e-05;3,2673801416659e-05;0,000164163024128657;5,23138364264537e-05
"zgodny";0,000109094858287965;0,000159207891554908;2,48148517266539e-05;0;0,000279317775996612;4,1387691854722e-05;0,000356163997317124;6,03793764809823e-05;0;2,86574500350723e-05;4,61211053894199e-05;6,80142537995891e-05;0;0;0;0;5,76714119170365e-05;0,000108211591994061;0,000108737529257702;6,49713602057776e-05
"zgodziæ";3,29404980519569e-05;3,20478729790522e-05;1,49853730558742e-05;0;0;0;0,000101215484181633;0,000267390469910782;0;0,000207670431080286;5,57038968133253e-05;8,21458840480597e-05;0,000618396394772408;0;0;0;0,000174135157395985;0,000196042808499954;9,84978144771943e-05;5,23138364264537e-05
"zgo³a";0,000800004681951351;2,22378877465532e-05;0,000249558935090319;0;0,000117043896899181;6,93715496058928e-05;0,000210699029253711;0;0,000364606307480065;0,000576406644854131;0,000128842352521596;0,000228002769418883;0;0;0;0;0;0;0;7,26007134890627e-05
"zgon";0,00192680461172431;0,000749836743264715;0,000191246559673141;0;0;0;0;0;6,20915028129339e-05;0;0;5,82424150719197e-05;0;0;0;0;7,40783465893731e-05;6,94983489242081e-05;6,98361294779102e-05;0
"zgoniæ";8,80354082495193e-05;0;0;0;0;0;0;0;0,000156032320098044;0;0;0;0;0;0;0;0;0;0;0
"zgorszyæ";0;0;5,59864995270986e-05;0;0;0;9,45371969743643e-05;9,0817385492524e-05;0;0,000258624203039359;0;0;0;0;0;0;0;0;0;0
"zgorza³y";8,80354082495193e-05;0;8,00985724420071e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zgorzeæ";0;0;0;0;0;0;0;0;0;0;9,92479488180025e-05;0;0;0;0;0;0,000372309116826827;0;0;0
"zgotowaæ";6,15341096858897e-05;0,000239466607697549;0,000447891996216789;0;0;0,000373510511523745;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zgrabny";1,95305452421213e-05;0;0;0;0,000100008901366021;5,92749613260039e-05;6,0011041420643e-05;5,7649751176611e-05;3,46155751134902e-05;0;2,2018033347262e-05;3,24697358314406e-05;0;0;0;0;4,12981560194007e-05;7,74896792141534e-05;0,000116799449653897;0,000124068281846163
"zgraæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000175494114580134;0,00013981178850536
"zgraja";0,000636031165527111;0;0,000626913895787621;0;0;0;0;0;0;0;0;8,81173723399568e-05;0;0;0;0;0;0;5,2828992551112e-05;8,41750841750842e-05
"zgromadzenie";3,50328111222601e-05;0,000340834883302143;0,000478116399182852;0;0;0,000106324145008233;0;0;0;7,36204107199467e-05;0,000355452566519861;0,000116484830143839;0;0;0;0;0,000222235039768119;0;0;0
"zgromadziæ";3,90610904842427e-05;0,000152010435821314;0,00031985582656166;0;0;5,92749613260039e-05;6,0011041420643e-05;2,88248755883055e-05;0;0;6,6054100041786e-05;0,000129878943325762;0,000733299098672842;0;0,00113205160394195;0;0;0,000154979358428307;1,94665749423162e-05;0
"zgromadziwszy";0;8,56498155185603e-05;0;0;0;0;0,00027050430315438;0;0;0;0;0;0;0;0;0;0;0;0;0
"zgromiæ";0;0,000119733303848775;0,000111972999054197;0;0;0;0;0;0;0,000129312101519679;0;0;0;0;0;0;0;0;0;9,77242464178183e-05
"zgroza";2,28572766271815e-05;0;6,23897337725796e-05;0;0,000234087793798362;0,000208114648817678;0;6,74695096217832e-05;0;0;0,000103073882017276;3,80004615698139e-05;0;0;0;0;9,66653377696907e-05;0,000136033301548299;6,83472298787626e-05;0,000217802140467188
"zgrubia³y";0;0;0;0;0;0;0;0,000107050713582595;0;0;0;0;0;0;0;0;0;0;7,22955674934282e-05;0,000115192154636625
"zgruchotaæ";0;5,98666519243873e-05;0,000223945998108395;0;0,000630188110974993;0;0;0;0;0;6,93713392156602e-05;0;0;0;0;0;0;0;0;0
"zgruntowaæ";0;0;0,000160197144884014;0;0;0;0;0,000129930304489669;0;0;0;0;0;0;0;0;0;0;0;0
"zgrupowaæ";5,30025971272592e-05;0;0;0;0,000271407246573484;0,000321724443014558;0;0;9,39408172851104e-05;0;0;0;0;0;0;0;0,00011207621182404;0;0;0
"zgryzota";0;8,95689361436744e-05;0,000209409205286115;0;0;0;0;0;0;0,000870610957200705;0,000103789285899209;0;0;0;0;0;9,73362619314209e-05;0;0;7,31046125490828e-05
"zgryŸæ";4,01381558496252e-05;3,90504878904153e-05;3,65194987782354e-05;0;0,000205533067285895;0,000121818802608361;0;0;0;8,4349140834805e-05;0;6,67301041031748e-05;0;0;0;0;0;0;0;0
"zgryŸliwy";5,30025971272592e-05;0;4,8224145829817e-05;0;0;0;8,14299092056512e-05;0;0;0;5,97532192046847e-05;8,81173723399568e-05;0;0;0;0;0;0;0;0
"zgrzybia³y";0;0;0,000160197144884014;0;0;0;0;0;0;0;9,92479488180025e-05;0;0;0;0;0;0;0;0;0
"zgrzyt";0,000120414467548876;3,90504878904153e-05;7,30389975564709e-05;0;0,000205533067285895;0;0;5,92393778241389e-05;0;0;0;0;0;0;0;0;0;0;0,000120020062298306;6,37446621561346e-05
"zgrzytaæ";0,000138095531417253;4,47844680718372e-05;0;0;0;0;0;0;8,15859837560454e-05;9,67345508000783e-05;5,18946429496043e-05;0,000229585266004257;0;0;0;0;0;0;0;0
"zgrzytaj¹c";0,000145066284738761;0;0;0;0;0;0;0;0,000128556392398601;0;0;0;0;0;0;0;0;0;7,22955674934282e-05;0
"zgrzytn¹æ";4,01381558496252e-05;0;3,65194987782354e-05;0;0;0,000121818802608361;0;0;0,00014228024169373;0;9,05006227976313e-05;0;0;0;0;0;0;0;0,000200033437163844;0,000127489324312269
"zguba";0,000181172739285763;0,000833244697455358;0,000239765968893987;0;8,43382245550645e-05;4,99870004621789e-05;0,000101215484181633;0;0,000116766252089482;0;0,000204247621648859;2,73819613493532e-05;0;0;0;0;3,4827031479197e-05;3,2673801416659e-05;3,28326048257314e-05;5,23138364264537e-05
"zgubiæ";0,000214835997663335;0,00022801565373197;0,000195467449565459;0;0;0;0;8,64746267649164e-05;0,000138462300453961;8,20857200006913e-05;0,00011009016673631;0;0;0;0,000566025801970973;0;8,25963120388015e-05;0,00011623451882123;0,00015573259953853;0,000124068281846163
