"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"absolutny";0;0;0;0;0,000295831410135505;7,70636594219143e-05;0,000450837110579721;0,000170420169185945;0;0,000112194663577244;3,23359380740848e-05;9,3581780095488e-05;0;0;0;0;0,000538303308628532;0,000558611707415845;0,000507930858636197;0,000384485222890924
"ach";0,000238243187769248;0,000876324944856332;0;0;0;0,000724322867747343;0;0,000320356511986891;0,000189792839084781;9,58654431435715e-05;5,5259295479789e-05;3,99807732960563e-05;0;0;0;0;0,000229978341134719;0,000689446799378287;0,000306356293691567;0,000205328650999166
"albowiem";0;0;5,6175508594119e-05;0,000835333839712729;0,000106583497984269;0;0,000324859326091825;2,45599042381454e-05;4,00134159635765e-05;8,08440164873197e-05;0,000279603363736934;6,74321463403971e-05;0;0;0;0;0,000145456789689406;0,000268345585814452;0,000215293718344916;0,000554096401868958
"ale¿";0;0;0,000181906457780972;0;0,000147915705067753;0,00138714586959446;0,000270502266347833;0,000170420169185945;0;0,000112194663577244;0;9,3581780095488e-05;0;0;0;0;0,000471015395049965;0,000310339837453247;0,000209148000614905;0,000240303264306827
"armia";0;0;0;0;0;4,59768739125946e-05;0,000215178787446452;2,03348418427093e-05;6,62597441192066e-05;0;0,000154335297215839;8,37476004171472e-05;0,0013746389300884;0,00379758799136353;0,000745758221492403;0,00930752508994395;0,000200722879087907;0,000111090926776718;0,00014260523721336;0,000315407606214607
"atak";0;0;0;0;0;5,55296977078512e-05;0,00012994373043673;4,91198084762909e-05;0,000280093911745036;8,08440164873197e-05;6,99008409342335e-05;0,000134864292680794;0,0011068359336532;0;0;0,00321182623641483;0,000193942386252542;8,94485286048173e-05;0,00038752869302085;0,00010389307535043
"baczyæ";0,000107758620689655;6,42756138321121e-05;6,02591141910214e-05;0;0,00017149717029669;0;0;0;0,000128766417718259;0;0,000112473287594196;5,42505289426572e-05;0;0;0;0;0;0,000143926309729419;0,000138566529254858;0,000167168171180207
"baæ";6,69707302528308e-05;9,98663672622237e-05;5,6175508594119e-05;0;0;0,000111059395415702;9,74577978275475e-05;0,000785916935620654;8,0026831927153e-05;0;0,000139801681868467;0,000202296439021191;0,0011068359336532;0;0;0;0;8,94485286048173e-05;0,00038752869302085;0,000207786150700859
"badaæ";0,000431034482758621;0;0,000120518228382043;0;0,00051449151089007;0,000357398141529664;0,000679525377659296;0,0001185536455246;0;6,50406504065041e-05;0,000112473287594196;5,42505289426572e-05;0;0;0;0;0;0;3,46416323137146e-05;0
"bajka";0;0;9,03886712865321e-05;0,000672043010752688;0;0;5,2271182896869e-05;0,000158071527366133;6,43832088591295e-05;0,000130081300813008;0;0;0;0;0;0;0,000156030581994071;7,19631548647093e-05;0,000103924896941144;0,000278613618633679
